,duration_bin,games_played,wins,hero_id
0,5700,1,0,1
1,3300,285,147,1
2,7500,1,0,1
3,1800,2332,1162,1
4,3900,48,26,1
5,300,20,9,1
6,7200,1,1,1
7,3000,468,262,1
8,4200,25,11,1
9,6600,1,1,1
10,4500,21,12,1
11,1200,1163,440,1
12,2700,732,434,1
13,5100,3,1,1
14,2100,1706,948,1
15,5400,3,2,1
16,900,414,152,1
17,12000,1,0,1
18,600,94,39,1
19,2400,1259,720,1
20,3600,123,56,1
21,1500,2017,868,1
22,4800,8,3,1
23,5700,1,0,2
24,3300,350,165,2
25,1800,2824,1323,2
26,3900,91,47,2
27,300,40,20,2
28,7200,1,1,2
29,3000,629,334,2
30,4200,42,21,2
31,4500,27,13,2
32,1200,1609,648,2
33,2700,881,468,2
34,5100,9,5,2
35,2100,2123,1045,2
36,5400,1,1,2
37,900,694,259,2
38,600,173,55,2
39,2400,1469,713,2
40,3600,179,87,2
41,1500,2607,1184,2
42,4800,11,6,2
43,3300,381,179,3
44,1800,3784,2062,3
45,3900,103,52,3
46,300,33,21,3
47,7200,1,0,3
48,3000,831,422,3
49,4200,56,28,3
50,7800,1,0,3
51,4500,23,8,3
52,1200,2050,1114,3
53,2700,1221,632,3
54,5100,14,11,3
55,2100,3013,1612,3
56,5400,3,0,3
57,900,770,423,3
58,600,184,98,3
59,2400,2192,1164,3
60,3600,216,121,3
61,1500,3095,1691,3
62,4800,15,8,3
63,5700,2,0,4
64,3300,274,118,4
65,1800,2363,1146,4
66,3900,64,25,4
67,300,22,14,4
68,6000,1,0,4
69,7200,1,1,4
70,3000,568,291,4
71,4200,24,13,4
72,4500,19,9,4
73,1200,1178,537,4
74,2700,742,358,4
75,5100,7,4,4
76,2100,1849,926,4
77,900,408,201,4
78,6300,1,0,4
79,600,97,66,4
80,2400,1330,683,4
81,3600,128,55,4
82,8100,1,0,4
83,1500,1905,877,4
84,4800,9,2,4
85,5700,4,3,5
86,3300,366,170,5
87,1800,4436,2236,5
88,3900,119,57,5
89,300,32,21,5
90,6000,3,1,5
91,7200,1,0,5
92,3000,772,406,5
93,4200,61,36,5
94,7800,1,0,5
95,4500,28,13,5
96,1200,2471,1296,5
97,2700,1148,562,5
98,5100,6,3,5
99,6900,1,0,5
100,2100,3172,1607,5
101,5400,3,1,5
102,900,810,421,5
103,6300,2,1,5
104,600,192,100,5
105,2400,1972,977,5
106,3600,224,113,5
107,1500,4451,2249,5
108,4800,15,8,5
109,5700,4,1,6
110,3300,255,112,6
111,7500,1,1,6
